Layer,Name,GEOID,Population,PCT-I_2019-2023,PCT-C_2019-2023,PCT-S_2019-2023
(Indicator name),,,,"Demographics, 0-4 years (% of residents), 2019-2023","Demographics, 0-17 years (% of residents), 2019-2023","Demographics, 65 and older (% of residents), 2019-2023"
(Definition),,,,"Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns."
(Citation),,,,"American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)"
---,---,---,---,---,---,---
Census tract,Tract 408,17031040800,1636,4.169381107491857,12.899022801302932,10.03257328990228
Census tract,Tract 409,17031040900,2063,3.782976605276257,15.828770532603285,12.09556993529119
Census tract,Tract 501,17031050100,2568,3.513394817742644,13.790074659639878,8.476064997804128
Census tract,Tract 502,17031050200,5309,7.146845337800112,28.959612879210862,13.735343383584588
Census tract,Tract 503,17031050300,2671,3.559633027522936,24.3302752293578,13.577981651376149
Census tract,Tract 505,17031050500,5117,13.08920919361122,30.853135956369304,6.719906505648616
Census tract,Tract 506,17031050600,2443,5.905511811023622,17.016622922134733,7.436570428696412
Census tract,Tract 507,17031050700,1513,8.018867924528301,17.99191374663073,9.568733153638814
Census tract,Tract 508,17031050800,1406,13.111268603827073,32.60099220411056,2.4805102763997167
Census tract,Tract 509,17031050900,1426,5.901426718547341,22.957198443579767,9.987029831387808
Census tract,Tract 510,17031051000,1538,11.591591591591593,25.285285285285287,5.165165165165165
Census tract,Tract 511,17031051100,1599,13.519313304721033,27.682403433476395,3.969957081545064
Census tract,Tract 512,17031051200,1581,7.0287539936102235,18.977635782747605,5.49520766773163
Census tract,Tract 513,17031051300,2907,12.87978863936592,34.709379128137385,3.1704095112285335
Census tract,Tract 514,17031051400,2492,12.30826786382342,27.72166105499439,4.040404040404041
Census tract,Tract 601,17031060100,2830,12.138544645694312,26.27899586908167,9.532888465204955
Census tract,Tract 602,17031060200,2313,6.103717301514456,12.849931161083068,7.664066085360258
Census tract,Tract 603,17031060300,3076,4.444444444444445,15.76388888888889,9.375
Census tract,Tract 604,17031060400,3709,9.06113537117904,23.60807860262009,3.002183406113537
Census tract,Tract 605,17031060500,1374,2.4752475247524752,17.40924092409241,22.524752475247524
