Layer,Name,GEOID,Population,UNS_2019-2023,MCD_2019-2023,CZM_2020-2024,EVR_2018,EKW_2024,RBU_2019-2023,LNG_2022,CAN_2022,DIS_2019-2023,HTJ_2019-2023
(Indicator name),,,,"Uninsured rate (% of residents), 2019-2023","Medicaid coverage (% of residents), 2019-2023","Major crime (crimes), 2020-2024","Eviction rate (% of renter-occupied households), 2018","Walkability Index, 2024","Rent-burdened (% of renter-occupied housing units), 2019-2023","Chronic obstructive pulmonary disease (COPD) (% of adults), 2022","Have ever had cancer (% of adults), 2022","Disability, from American Community Survey (% of residents), 2019-2023","Crowded housing (% of occupied housing units), 2019-2023"
(Definition),,,,"Percent of residents without health insurance (at the time of the survey).","Percent of residents covered by Medicaid, a state-administered health insurance program for residents meeting certain income limits and other eligibility standards that vary by state.","The most serious offenses, also known as index crimes. Includes homicide, criminal sexual assault, robbery, aggravated assault, aggravated battery, burglary, larceny, vehicle theft, and arson.","Percentage of renter-occupied housing units with an eviction over the past year. An eviction happens when a landlord expels people from property he or she owns. Evictions are landlord-initiated involuntary moves that happen to renters. This is based on available eviction records and estimates for missing data, and does not include voluntary move-outs or evictions that take place outside of the legal system. A high eviction rate could be based on a high number of evictions, a very low number of renter-occupied units, or both.","A ranking of an area's walkability, based on intersection density, proximity to transit, diversity of businesses, and density of housing. Values range from 1 to 20 with 20 being most walkable","Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities, insurance, or building fees.","Percent of resident adults aged 18 and older who report ever having been told by a doctor, nurse, or other health professional that they have chronic obstructive pulmonary disease (COPD), emphysema, or chronic bronchitis. Data for counties and states are age-adjusted. Data for zips, tracts and smaller layers are raw.","Percent of resident adults aged 18 and older who report ever having been told by a doctor, nurse, or other health professional that they have cancer (other than skin cancer). Data for counties and states are age-adjusted. Data for zips, tracts and smaller layers are raw.","Percent of residents with a disability, defined as one or more sensory disabilities or difficulties with everyday tasks, reported by American Community Survey.","Percent of occupied housing units with more than one occupant per room (e.g. three occupants in a one-bedroom apartment)."
(Citation),,,,"American Community Survey (Tables B27001/C27001)","American Community Survey (ACS) (Tables S2704, S2701, and B27010)","Crime data portal","The Eviction Lab at Princeton University (All yearly data), Cook County Sheriff's Office of Research (Monthly data in Chicago only)","Agency for Toxic Substances and Disease Registry - Environmental Justice Index","American Community Survey (Table B25070)","PLACES (Sub-county data (zip codes, tracts)), Behavioral Risk Factor Surveillance System (BRFSS) (County and state level data)","PLACES (Sub-county data (zip codes, tracts)), Behavioral Risk Factor Surveillance System (BRFSS) (County and state level data)","American Community Survey (Table S1810)","American Community Survey (Table B25014)"
---,---,---,---,---,---,---,---,---,---,---,---,---,---
Census tract,Tract 318,17031031800,1910,8.484848484848486,8.88888888888889,53.6,0.0,17.0,35.810810810810814,2.9,4.8,7.474747474747474,7.62970498474059
Census tract,Tract 319,17031031900,2522,3.763658437879401,8.29623634156212,84.6,0.0,14.25,42.615558060879366,2.7,5.1,5.503844597329017,0.0
Census tract,Tract 321,17031032100,7543,8.624407072013799,16.73134971970677,233.0,0.55,14.4,39.3407270486753,3.9,4.7,12.534138277993389,9.420462675888386
Census tract,Tract 401,17031040100,3905,5.358090185676392,8.992042440318302,97.4,0.12,16.33,50.33947623666344,3.9,6.2,5.676392572944297,0.7796257796257797
Census tract,Tract 402.01,17031040201,6408,5.296816349228417,8.174614208258028,166.8,0.16,15.17,44.13145539906103,3.5,5.5,4.963158626442374,0.9218054672600128
Census tract,Tract 402.02,17031040202,7318,21.96734583726893,24.23424639050061,162.8,0.28,15.08,67.66029246344208,6.2,5.8,9.040615301578734,8.32769126607989
Census tract,Tract 403,17031040300,2928,10.201296485841011,16.240191061071307,47.4,0.0,14.89,33.73205741626794,5.5,7.6,6.175366769020812,5.331040412725709
Census tract,Tract 404.01,17031040401,3129,5.79667063020214,5.648038049940547,74.6,0.19,15.33,30.63209076175041,3.6,6.0,6.777645659928656,0.0
Census tract,Tract 404.02,17031040402,4746,7.690476190476191,4.214285714285714,111.8,0.06,15.07,31.48148148148148,2.4,4.2,6.785714285714286,0.5212510024057738
Census tract,Tract 406,17031040600,2530,8.330275229357797,4.73394495412844,85.8,0.13,16.67,49.03581267217631,3.3,5.1,10.825688073394495,1.9470404984423677
Census tract,Tract 407,17031040700,3426,2.7578599007170435,13.568670711527856,51.0,0.23,14.67,31.15264797507788,2.6,5.3,6.811913954771098,1.831069108092144
Census tract,Tract 408,17031040800,1636,4.396325459317586,2.0341207349081363,29.6,0.24,15.92,20.043572984749456,3.4,5.8,5.4461942257217855,0.0
Census tract,Tract 409,17031040900,2063,10.801393728222996,2.638128422100547,41.4,0.33,15.67,46.837146702557206,3.2,5.8,8.26281732205077,0.0
Census tract,Tract 501,17031050100,2568,4.128238910847607,5.314009661835748,54.4,,18.08,26.536312849162012,3.0,5.2,5.445761967501098,0.0
Census tract,Tract 502,17031050200,5309,2.680067001675042,6.197654941373535,123.2,0.0,17.22,35.15016685205784,3.4,6.7,10.887772194304858,0.0
Census tract,Tract 503,17031050300,2671,4.146788990825688,3.2660550458715596,35.2,0.58,15.5,26.302729528535977,3.1,6.0,10.642201834862384,0.0
Census tract,Tract 505,17031050500,5117,3.544994156603039,3.194390338917024,77.6,0.0,15.43,33.53151010701546,2.6,6.1,3.739774055317491,0.0
Census tract,Tract 506,17031050600,2443,3.674540682414698,2.537182852143482,59.4,0.0,16.5,23.549488054607508,2.3,4.7,6.036745406824147,0.0
Census tract,Tract 507,17031050700,1513,5.525606469002695,3.30188679245283,20.6,,15.67,15.82089552238806,2.5,5.1,5.862533692722372,0.0
Census tract,Tract 508,17031050800,1406,1.2048192771084338,8.717221828490432,14.8,,16.0,34.552845528455286,3.4,4.8,4.819277108433735,2.8688524590163933
Census tract,Tract 509,17031050900,1426,7.003891050583658,8.365758754863812,30.2,,15.83,24.396135265700483,3.2,5.8,3.761348897535668,0.0
Census tract,Tract 510,17031051000,1538,0.9009009009009008,0.960960960960961,39.4,,17.83,19.724770642201836,2.6,4.9,3.243243243243243,0.0
Census tract,Tract 511,17031051100,1599,2.628755364806867,1.7167381974248928,23.8,0.36,17.67,27.46268656716418,2.5,4.4,3.5407725321888415,2.8493894165535956
Census tract,Tract 512,17031051200,1581,2.7080581241743724,6.605019815059446,28.4,0.0,16.5,24.92753623188406,2.2,4.5,4.227212681638045,0.7751937984496124
Census tract,Tract 513,17031051300,2907,0.3302509907529722,7.463672391017173,41.0,0.0,16.29,37.9182156133829,2.3,4.8,4.425363276089828,0.0
Census tract,Tract 514,17031051400,2492,4.9906191369606,7.804878048780488,54.4,0.29,15.42,38.041002277904326,2.4,4.1,4.465290806754221,0.9416195856873822
Census tract,Tract 601,17031060100,2830,2.256116936765173,5.370193835398792,46.2,0.16,15.17,43.73626373626374,2.4,5.0,3.4953924372418177,3.507404520654715
Census tract,Tract 602,17031060200,2313,3.028912345112437,5.736576411197797,44.8,0.64,14.75,36.118598382749326,2.5,4.7,5.690683799908214,3.9297658862876257
Census tract,Tract 603,17031060300,3076,0.8333333333333334,9.375,40.6,0.15,17.08,12.250712250712253,2.7,4.7,9.756944444444445,0.3286770747740345
Census tract,Tract 604,17031060400,3709,1.937772925764192,2.7292576419213974,86.8,,16.33,33.41677096370463,2.1,4.1,2.7019650655021836,0.9615384615384616
Census tract,Tract 605,17031060500,1374,3.4653465346534658,19.389438943894387,29.2,,16.5,37.40157480314961,6.6,8.4,17.326732673267326,1.0309278350515465
Census tract,Tract 608,17031060800,5295,6.168332052267487,4.073789392774789,62.4,0.37,13.11,31.783317353787155,3.0,5.5,15.199846272098386,2.4959305480195333
Census tract,Tract 609,17031060900,7104,4.515950835519956,4.529761082723381,245.0,0.07,12.17,41.30612244897959,2.9,6.0,12.249689269437924,1.8624641833810889
Census tract,Tract 610,17031061000,2279,1.2606933813597478,5.44799639801891,88.4,0.25,15.67,33.414932680538556,2.2,3.2,4.412426834759117,0.0
Census tract,Tract 611,17031061100,1367,3.9473684210526314,3.216374269005848,103.0,0.0,15.5,30.905511811023626,1.6,3.0,3.654970760233918,0.0
Census tract,Tract 612,17031061200,1932,4.891041162227603,1.0169491525423728,23.2,0.22,15.83,35.892514395393476,1.9,3.5,5.036319612590799,0.5767012687427913
Census tract,Tract 615,17031061500,1797,2.7129679869777537,7.4877916440586,25.4,,16.83,21.88552188552189,2.3,3.8,3.1470428648941944,1.2208657047724751
Census tract,Tract 618,17031061800,1051,8.041958041958042,6.206293706293707,45.8,0.36,15.0,47.97979797979798,2.7,4.3,8.828671328671328,1.74496644295302
Census tract,Tract 619.01,17031061901,3625,3.9839495557466327,15.13327601031814,115.0,0.19,13.25,50.07349338559529,2.9,4.9,14.817999426769848,2.799848656829361
Census tract,Tract 619.02,17031061902,4665,7.419083648591846,3.362757461118117,55.8,0.25,12.62,41.98473282442748,3.2,6.8,6.746532156368222,0.5519144532597448
Census tract,Tract 620,17031062000,2843,1.181235234559568,1.4174822814714816,95.6,0.27,14.5,37.37075332348597,1.6,3.5,3.779952750590618,0.0
Census tract,Tract 621,17031062100,3817,5.654596100278551,3.7604456824512535,327.0,0.24,15.11,39.42857142857143,2.0,3.3,6.462395543175488,0.430416068866571
Census tract,Tract 622,17031062200,3244,1.735895846249225,3.5027898326100435,111.6,,15.08,30.658105939004816,1.5,3.0,2.262864228146311,3.9102099927588703
Census tract,Tract 623,17031062300,1667,1.9783024888321632,0.0,18.4,,17.0,22.5,1.8,4.1,2.8079132099553283,0.0
Census tract,Tract 624,17031062400,1673,2.2688598979013044,6.1826432217810545,88.4,0.0,18.0,41.1214953271028,2.9,5.3,8.564946114577426,1.0362694300518136
Census tract,Tract 625,17031062500,1675,1.77717019822283,9.911141490088855,50.6,0.3,19.67,45.535714285714285,2.7,4.5,3.691045796308954,0.0
Census tract,Tract 626,17031062600,2477,2.1591871295512277,1.6088060965283657,30.0,0.0,18.5,46.51162790697674,2.3,4.6,1.397121083827265,1.5053763440860215
Census tract,Tract 627,17031062700,2955,3.1746031746031744,5.900621118012422,78.8,0.2,17.94,40.87061668681983,2.0,4.7,6.107660455486543,0.0
Census tract,Tract 628,17031062800,3851,3.425385023898035,2.8146574614976103,55.0,0.0,15.94,24.311377245508982,1.8,3.7,4.009559214020181,0.0
Census tract,Tract 629,17031062900,4125,0.8323699421965317,4.624277456647398,73.8,0.39,16.28,23.879142300194932,1.8,3.6,5.202312138728324,1.1710794297352345
Census tract,Tract 630,17031063000,3417,1.3634852011972065,0.7981376787495843,262.8,0.18,14.72,41.30255564715581,1.6,2.8,2.061855670103093,0.4484304932735426
Census tract,Tract 631,17031063100,2376,3.563852354688163,6.448875689435724,75.4,0.33,17.25,29.354207436399214,1.7,3.2,6.576156130674586,0.0
Census tract,Tract 632,17031063200,6900,0.0,1.8405864919669317,159.4,0.15,13.08,52.38246505717916,2.5,6.6,12.806114490719075,0.8278867102396513
Census tract,Tract 633.01,17031063301,2833,5.048076923076923,16.17445054945055,50.0,0.19,12.61,46.55679811653914,3.0,5.2,15.453296703296704,3.76051459673429
